"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"891","Fordham","A-10",12,17,62.4,62.2,67.7,0.28,-0.69,-2.41,-0.5,88.62,92.88,2022
"892","UC-Davis","Big West",20,14,61.9,60,65.4,1.97,-2.36,-4.04,0.99,87.84,92.04,2022
"893","Florida International","CUSA",21,12,68.6,64.2,67.3,4.42,-5.02,-0.06,-2.99,88.04,92.55,2022
"894","Southeastern Louisiana","Southland",19,12,63.5,58,63,5.52,-4.93,-5.42,2.34,84.57,88.7,2022
"895","Saint Mary's (CA)","WCC",13,18,61,65.3,71.5,-4.26,1.78,-3.2,0.05,92.79,97.78,2022
"896","Albany (NY)","AEC",25,7,60.9,51.3,62.2,9.63,-10.26,-8.46,5.2,88.65,92.99,2022
"897","George Washington","A-10",13,18,58.5,58.2,64.4,0.26,-1.51,-7.74,4.47,84.93,89.89,2022
"898","Northern Colorado","Big Sky",15,16,65.1,62.5,66.3,2.61,-2.99,-3.26,-0.01,90.45,95.03,2022
"899","Bowling Green State","MAC",16,15,67.4,70,72.8,-2.61,-0.74,0.97,-4.32,95.53,100.52,2022
"900","Towson","CAA",20,11,66.8,65.4,73.8,1.42,-4.78,0.1,-3.46,88.86,94.32,2022
"901","Air Force","MWC",15,17,63.3,66.3,65.9,-3,0.25,-1.83,-1.62,88.42,93.62,2022
"902","Holy Cross","Patriot",21,13,62.9,56.9,67.4,6.06,-8.52,-5.69,2.17,87.8,92.9,2022
"903","San Diego","WCC",9,22,62.8,66.9,65.2,-4.06,2.47,-2.35,-1.18,90.07,94.89,2022
"904","Nevada","MWC",16,16,64.3,65,66.7,-0.72,-1.68,-1.96,-1.59,87.49,92.18,2022
"905","Wichita State","AAC",10,22,64,69.9,73.1,-5.84,2.11,-0.88,-2.86,86.93,92.23,2022
"906","Abilene Christian","WAC",14,16,69.9,66.1,66.1,3.8,-5.42,0.29,-4.05,93.15,98.83,2022
"907","Buffalo","MAC",19,14,65.9,63.6,75.6,2.33,-5.14,-2.09,-1.89,89.91,95.9,2022
"908","William & Mary","CAA",15,14,63.2,62.6,68,0.66,-4.71,-2.72,-1.34,85.77,91.98,2022
"909","Eastern Kentucky","A-Sun",22,12,71.9,64,69,7.85,-6.9,0.33,-4.48,88.34,93.97,2022
"910","Fresno State","MWC",15,18,64.3,63,66.6,1.27,-3.05,-2.89,-1.42,90.72,97.66,2022
"911","Idaho","Big Sky",15,16,59.8,57.2,72.6,2.58,-4.97,-8.5,4.18,85.04,91.35,2022
"912","Southern Illinois","MVC",11,20,65.6,68.5,64.7,-2.84,-1.48,-2.11,-2.21,85.97,92.04,2022
