"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"167","Stephen F. Austin","WAC",18,15,74.6,71.3,71.5,3.33,-1.76,-0.82,-0.14,100.48,102.18,2024
"168","Eastern Washington","Big Sky",21,11,80.8,75.2,70.9,5.59,-2.99,5.61,-6.64,109.65,110.77,2024
"169","George Washington","A-10",15,17,76.8,77.3,70.4,-0.47,-0.06,5.03,-6.06,105.56,107.36,2024
"170","Long Beach State","Big West",21,15,77.4,76,72.9,1.42,-1.19,3.92,-5.11,104.65,106.32,2024
"171","Tulsa","AAC",16,15,75,73.9,71.4,1.13,-1,1.08,-2.29,102.07,103.37,2024
"172","Temple","AAC",16,20,70.9,72.9,68,-2.03,1.68,-2.02,0.76,101.66,103.43,2024
"173","Massachusetts-Lowell","AmEast",22,10,80,70.7,72.6,9.38,-6.07,1.72,-3,103.24,105.23,2024
"174","UC-Davis","Big West",20,13,71.2,68.1,68.1,3.18,-2.85,-3.38,2.05,100.84,102.68,2024
"175","Utah Valley","WAC",16,16,68.7,68.6,69.2,0.13,-0.03,-4.75,3.42,97.86,99.14,2024
"176","Illinois State","MVC",15,17,66.5,67.7,65.3,-1.16,0.43,-7.2,5.82,101.32,103.59,2024
"177","Montana","Big Sky",24,12,76.9,71.8,67.2,5.06,-4.11,0.6,-2.01,108.53,110.46,2024
"178","UTEP","CUSA",18,16,72.6,69.1,71.4,3.59,-1.3,-3.52,2.02,97.41,99.32,2024
"179","Saint Louis","A-10",13,20,74.9,79.4,69.8,-4.45,4.15,4.87,-6.44,110.1,112.21,2024
"180","Illinois-Chicago","MVC",12,21,70.3,71.5,68.7,-1.27,1.3,-2,0.39,99.27,101.49,2024
"181","La Salle","A-10",16,17,72.7,73.1,67.3,-0.39,0.85,-0.21,-1.41,104.43,106.4,2024
"182","Delaware","CAA",19,14,73.2,69.7,67.7,3.55,-4.3,-1.93,0.25,102.5,104.52,2024
"183","UNC Asheville","Big South",22,12,78.9,73.1,70.3,5.79,-2.99,0.79,-2.71,105.25,108,2024
"184","Lipscomb","A-Sun",20,12,82.1,76.5,71.2,5.56,-5.04,4.04,-5.97,110.11,112.68,2024
"185","Winthrop","Big South",17,15,77.3,71.5,68.3,5.88,-3.42,0.3,-2.27,104.91,107.65,2024
"186","Longwood","Big South",21,14,74.7,68.5,67.9,6.26,-4.76,-2.59,0.55,103.26,106.03,2024
"187","Pepperdine","WCC",13,20,72.8,74,68.4,-1.21,0.7,-0.04,-2.09,105.74,108.94,2024
"188","Rhode Island","A-10",12,20,72.6,76.3,69,-3.78,2.87,1.28,-3.54,105.88,109.14,2024
"189","California Baptist","WAC",16,17,67.3,66.6,65.7,0.76,-2.26,-6.37,4.05,102.11,105.18,2024
"190","Stony Brook","CAA",20,15,73.5,72.3,67.5,1.2,-2.62,0.2,-2.79,103.85,107.17,2024
"191","Bryant","AmEast",20,13,78.7,75.4,76,3.33,-3.54,1.83,-4.89,97.81,102.04,2024
"192","Quinnipiac","MAAC",24,10,77.4,71.2,71.9,6.12,-7.32,1.55,-4.64,102.72,106.85,2024
"193","East Tennessee State","Southern",19,16,71.5,69.6,68.8,1.91,-2.74,-4.23,1.12,100.66,104.95,2024
"194","Fairfield","MAAC",24,13,75.5,71,68.9,4.54,-6.53,0.7,-3.87,105.94,110.21,2024
"195","Monmouth","CAA",18,15,72.4,72.6,68.1,-0.18,-2.98,-1.5,-1.67,103.64,108.35,2024
"196","UCSB","Big West",16,15,75.4,73.5,69,1.84,-3.01,-0.45,-2.73,104.62,109.22,2024
"197","Rice","AAC",11,21,72,75.7,67.5,-3.66,1.97,-1.51,-1.72,104.84,109.37,2024
"198","Fresno State","MWC",12,21,67.7,73.9,66,-6.24,3.5,-3.42,0.14,102.92,107.99,2024
"199","Penn","Ivy",11,18,74.4,74.4,66.5,0.07,0.26,-0.25,-3.08,106.39,111.35,2024
"200","Little Rock","OVC",21,13,77.3,72.5,69.9,4.82,-8.24,1.18,-4.6,104.8,109.08,2024
"201","Cleveland State","Horizon",21,15,75.5,72.8,68.6,2.64,-4.44,-1,-2.47,103.73,108.61,2024
"202","Jacksonville State","CUSA",14,18,70,66.4,67.1,3.56,-3.14,-7.18,3.63,99.97,104.63,2024
"203","Brown","Ivy",13,18,71.4,71.8,67.8,-0.48,-1.73,-2.15,-1.45,101.82,107.15,2024
"204","Northern Kentucky","Horizon",18,15,74.8,73.2,69.7,1.64,-3.73,-1.8,-1.86,100.87,106.23,2024
"205","Evansville","MVC",17,18,70.9,73.2,69.6,-2.31,0.75,-2.34,-1.35,100.47,105.63,2024
"206","Texas State","Sun Belt",17,18,69.9,70.1,68.4,-0.2,-0.74,-6.33,2.63,97.72,102.74,2024
"207","San Jose State","MWC",9,23,69.6,75.1,66.4,-5.47,3.28,-2.61,-1.21,104.09,109.98,2024
"208","Wofford","Southern",17,15,74.5,73.8,67.5,0.69,-1.6,-1.23,-2.64,106.09,111.7,2024
"209","Abilene Christian","WAC",16,18,72.1,73.5,71.1,-1.41,-1.12,-2.48,-1.65,100.11,105.6,2024
"210","UC Riverside","Big West",16,18,70.7,72,67.7,-1.29,-1.23,-3.01,-1.25,101.68,107.76,2024
"211","Northern Colorado","Big Sky",19,14,79.3,77,69.9,2.27,-5.25,4.13,-8.57,105.4,111.38,2024
"212","Texas A&M-Corpus Christi","Southland",21,12,75.2,66.7,71.2,8.48,-7.24,-4.79,0.34,97.68,102.84,2024
"213","Harvard","Ivy",14,13,70.4,71.7,67.8,-1.37,-2.08,-3.35,-1.23,99.74,106.18,2024
"214","St. Peter's","MAAC",19,14,64.8,64,65.4,0.82,-5.33,-10.24,5.67,95.85,102.2,2024
"215","Georgia State","Sun Belt",14,17,76.5,74.8,70.6,1.65,-2.59,-0.72,-3.88,103.1,109.54,2024
"216","Mercer","Southern",16,17,71.2,71.8,67.5,-0.7,-2.55,-4.63,-0.02,100.93,107.74,2024
